id,duration_ms,pred,arr_len
1,0.188,False,99
1,2.178,False,599
1,1.734,False,1013
2,1.619,False,354
2,1.807,False,854
2,2.2390000000000003,False,996
3,1.527,False,211
3,1.178,False,711
3,1.643,False,1010
4,0.055,False,30
4,1.5430000000000001,False,530
4,1.615,False,1010
33,1.9680000000000002,False,414
33,1.721,True,914
33,1.4189999999999998,True,1013
34,1.509,False,330
34,1.596,True,830
34,1.5690000000000002,True,996
35,0.025,False,3
35,1.777,False,503
35,1.6139999999999999,True,1003
35,1.567,True,1010
36,1.5479999999999998,False,478
36,1.686,True,978
36,1.629,True,1010
1,0.025,False,198
1,1.546,False,698
1,1.8550000000000002,False,1013
2,1.8259999999999998,False,339
2,1.572,False,839
2,0.896,False,996
3,1.5399999999999998,False,480
3,1.642,False,980
3,1.5659999999999998,False,1010
4,1.486,False,373
4,1.552,False,873
4,1.568,False,1010
1,1.538,False,498
1,1.591,False,998
1,1.392,False,1013
2,1.567,False,271
2,1.7630000000000001,False,771
2,1.2429999999999999,False,996
3,0.025,False,132
3,1.563,True,632
3,1.606,True,1010
1,0.024,False,31
1,1.4909999999999999,False,531
1,1.392,False,1013
1,0.025,False,157
1,1.5,False,657
1,1.392,False,1013
2,0.025,False,86
2,1.506,False,586
2,1.6139999999999999,False,996
3,3.3310000000000004,False,455
3,1.635,True,955
3,1.648,True,1010
1,1.4989999999999999,False,428
1,1.589,False,928
1,1.4189999999999998,False,1013
2,2.1,False,212
2,1.536,False,712
2,1.5870000000000002,False,996
3,0.025,False,75
3,1.535,False,575
3,1.5590000000000002,False,1010
4,1.497,False,427
4,1.605,False,927
4,1.58,False,1010
5,0.025,False,39
5,1.488,False,539
5,1.395,False,1013
6,4.124,False,310
6,1.667,False,810
6,1.578,False,996
7,1.5150000000000001,False,489
7,1.714,False,989
7,1.615,False,1010
8,0.029,False,52
8,1.514,False,552
8,1.71,False,1010
5,1.427,False,249
5,1.588,True,749
5,1.411,True,1013
6,0.016,False,189
6,1.5759999999999998,False,689
6,1.5590000000000002,False,996
7,1.938,False,366
7,1.575,False,866
7,1.572,False,1010
8,0.023,False,32
8,1.5070000000000001,False,532
8,1.591,False,1010
9,1.517,False,494
9,1.635,False,994
9,1.392,False,1013
10,1.501,False,476
10,1.553,False,976
10,1.55,False,996
11,1.516,False,438
11,5.8950000000000005,False,938
11,1.571,False,1010
12,0.023,False,24
12,1.518,False,524
12,1.5790000000000002,False,1010
9,1.407,False,241
9,1.5590000000000002,False,741
9,1.383,False,1013
10,0.017,False,2
10,1.5410000000000001,False,502
10,1.56,False,996
11,1.492,False,329
11,1.572,False,829
11,1.5579999999999998,False,1010
12,0.024,False,197
12,1.785,False,697
12,1.565,False,1010
13,1.49,False,436
13,1.779,False,936
13,1.382,False,1013
14,0.024,False,111
14,1.526,False,611
14,1.61,False,996
15,1.489,False,374
15,5.3020000000000005,False,874
15,1.601,False,1010
16,1.487,False,220
16,1.539,False,720
16,1.571,False,1010
13,0.99,False,458
13,1.608,False,958
13,1.383,False,1013
14,0.024,False,124
14,1.534,False,624
14,1.5690000000000002,False,996
15,1.461,False,310
15,1.532,False,810
15,1.564,False,1010
16,0.023,False,132
16,1.517,True,632
16,1.621,False,1010
17,1.413,False,379
17,1.6039999999999999,False,879
17,1.3860000000000001,False,1013
18,1.132,False,344
18,1.737,False,844
18,1.563,False,996
19,1.5299999999999998,False,322
19,1.557,False,822
19,1.578,False,1010
20,1.521,False,356
20,1.716,False,856
20,1.557,False,1010
21,1.4829999999999999,False,391
21,1.605,False,891
21,1.409,False,1013
22,0.024,False,70
22,3.3440000000000003,False,570
22,1.831,False,996
23,0.026,False,7
23,1.5,False,507
23,1.606,False,1007
23,1.581,False,1010
24,1.4569999999999999,False,476
24,1.577,False,976
24,1.615,False,1010
25,1.479,False,435
25,1.539,False,935
25,1.35,False,1013
26,0.9,False,440
26,1.621,False,940
26,1.532,False,996
27,1.4649999999999999,False,336
27,1.5430000000000001,False,836
27,1.5590000000000002,False,1010
28,1.382,False,206
28,1.529,False,706
28,1.288,False,1010
29,1.383,False,248
29,1.517,False,748
29,1.36,False,1013
30,0.026,False,126
30,1.477,False,626
30,1.807,False,996
31,1.4729999999999999,False,425
31,1.574,True,925
31,1.532,True,1010
32,0.023,False,33
32,1.601,False,533
32,1.5759999999999998,True,1010
