id,duration_ms,pred,arr_len
1,0.032,False,99
1,20.435,False,599
1,48.364999999999995,False,1013
2,22.717000000000002,False,354
2,49.977000000000004,False,854
2,59.796,False,996
3,22.044,False,211
3,43.147999999999996,False,711
3,71.96900000000001,False,1010
4,0.022,False,30
4,15.373,False,530
4,37.18,False,1010
33,13.927999999999999,False,414
33,31.784,True,914
33,43.304,True,1013
34,10.037,False,330
34,28.092,True,830
34,37.038000000000004,True,996
35,0.024,False,3
35,17.007,True,503
35,36.416999999999994,True,1003
35,37.099,True,1010
36,13.412,False,478
36,35.107,True,978
36,36.89,True,1010
1,0.025,False,198
1,26.419999999999998,False,698
1,36.924,False,1013
2,12.0,False,339
2,28.980999999999998,True,839
2,35.284000000000006,True,996
3,15.519,False,480
3,35.225,False,980
3,43.73,False,1010
4,9.934,False,373
4,30.19,False,873
4,36.821,False,1010
1,12.818,True,498
1,39.440000000000005,False,998
1,41.294,False,1013
2,10.011000000000001,True,271
2,25.088,False,771
2,35.522,False,996
3,0.023,False,132
3,22.13,True,632
3,36.875,True,1010
1,0.026,False,31
1,14.551,False,531
1,36.437,False,1013
1,0.023,False,157
1,24.062,False,657
1,37.05,False,1013
2,0.022,False,86
2,16.431,False,586
2,36.483000000000004,False,996
3,15.488,True,455
3,33.796,True,955
3,38.432,True,1010
1,11.479,True,428
1,32.668,False,928
1,37.291,False,1013
2,7.668,True,212
2,27.654999999999998,False,712
2,42.54,False,996
3,0.023,False,75
3,16.668,False,575
3,43.074,False,1010
4,14.946,True,427
4,32.489999999999995,False,927
4,37.294000000000004,False,1010
5,0.025,False,39
5,17.423000000000002,True,539
5,44.722,True,1013
6,10.443,False,310
6,31.93,False,810
6,37.411,False,996
7,15.943999999999999,False,489
7,36.759,False,989
7,37.498,False,1010
8,0.023,False,52
8,19.363,False,552
8,34.957,False,1010
5,8.907,False,249
5,25.758,True,749
5,39.074,True,1013
6,0.028,False,189
6,25.773999999999997,False,689
6,35.601,False,996
7,12.684000000000001,False,366
7,30.148,False,866
7,37.49,False,1010
8,0.023,False,32
8,17.87,False,532
8,33.67,True,1010
9,13.314,False,494
9,36.845000000000006,False,994
9,38.486,False,1013
10,12.642999999999999,False,476
10,35.522,False,976
10,36.892,False,996
11,11.521999999999998,False,438
11,33.592,False,938
11,36.477000000000004,False,1010
12,0.025,False,24
12,14.266,False,524
12,42.676,False,1010
9,8.177,True,241
9,22.226,False,741
9,40.917,True,1013
10,0.022,False,2
10,16.310000000000002,False,502
10,36.812999999999995,False,996
11,10.978,False,329
11,28.694,False,829
11,37.421,False,1010
12,0.023,False,197
12,26.563,False,697
12,37.852,False,1010
13,11.712,False,436
13,34.033,False,936
13,37.954,False,1013
14,0.023,False,111
14,21.488,False,611
14,36.936,False,996
15,12.292000000000002,False,374
15,154.297,False,874
15,37.305,False,1010
16,7.357,False,220
16,20.796,False,720
16,37.305,False,1010
13,14.128,False,458
13,34.988,False,958
13,39.979,False,1013
14,0.023,False,124
14,21.881999999999998,False,624
14,32.683,False,996
15,10.639,False,310
15,27.641,False,810
15,38.578,False,1010
16,0.023,False,132
16,22.076999999999998,False,632
16,38.0,True,1010
17,11.119,False,379
17,30.648000000000003,False,879
17,37.51199999999999,False,1013
18,9.968,False,344
18,30.883,False,844
18,39.617,False,996
19,9.802999999999999,False,322
19,28.544,False,822
19,39.371,False,1010
20,10.777999999999999,False,356
20,29.187,True,856
20,36.766,True,1010
21,13.155,False,391
21,31.196,False,891
21,39.119,False,1013
22,0.022,False,70
22,18.797,False,570
22,36.208999999999996,False,996
23,0.024,False,7
23,14.087,False,507
23,36.641,False,1007
23,37.043,False,1010
24,13.294,False,476
24,34.916999999999994,False,976
24,38.190000000000005,False,1010
25,12.187,False,435
25,33.364,True,935
25,40.325,True,1013
26,13.520000000000001,False,440
26,32.564,False,940
26,36.043,False,996
27,10.383,False,336
27,30.852,False,836
27,37.184000000000005,False,1010
28,7.034000000000001,False,206
28,25.454,False,706
28,39.637,False,1010
29,8.382000000000001,False,248
29,24.891,True,748
29,40.278,False,1013
30,0.022,False,126
30,17.205000000000002,False,626
30,36.325,False,996
31,14.763,False,425
31,33.160000000000004,True,925
31,37.623999999999995,True,1010
32,0.022,False,33
32,17.919,False,533
32,37.199000000000005,True,1010
