id,duration_ms,pred,arr_len
1,0.057,False,157
1,1937.639,False,657
1,47.297,False,1013
2,0.024,False,86
2,15.566999999999998,False,586
2,36.816,False,996
3,15.471,True,455
3,35.269,True,955
3,37.571,True,1010
1,0.020999999999999998,False,99
1,18.697,False,599
1,37.585,False,1013
2,9.817,False,354
2,29.554000000000002,False,854
2,36.852999999999994,False,996
3,8.184999999999999,False,211
3,29.291999999999998,False,711
3,39.215,False,1010
4,0.022,False,30
4,15.258000000000001,False,530
4,37.359,False,1010
1,0.023,False,198
1,21.221,False,698
1,40.666000000000004,False,1013
2,12.775,False,339
2,29.291999999999998,True,839
2,35.778999999999996,True,996
3,15.682000000000002,False,480
3,35.374,False,980
3,37.128,False,1010
4,10.072,False,373
4,30.334,False,873
4,37.662,False,1010
1,0.022,False,31
1,18.831,False,531
1,37.855,False,1013
5,8.48,False,249
5,24.297,True,749
5,42.431999999999995,True,1013
6,0.07100000000000001,False,189
6,25.435,False,689
6,49.009,False,996
7,12.562999999999999,False,366
7,30.59,False,866
7,37.238,False,1010
8,0.024,False,32
8,17.691,False,532
8,37.553000000000004,True,1010
1,11.882,True,428
1,33.688,False,928
1,37.793,False,1013
2,7.808,True,212
2,27.536,False,712
2,46.202,False,996
3,0.022,False,75
3,16.826,False,575
3,43.888000000000005,False,1010
4,14.996,True,427
4,32.714,False,927
4,36.638999999999996,False,1010
1,17.305999999999997,True,498
1,37.650999999999996,False,998
1,44.934000000000005,False,1013
2,11.461,True,271
2,26.365,False,771
2,34.414,False,996
3,0.022,False,132
3,23.132,True,632
3,37.409,True,1010
9,7.297,True,241
9,21.125,False,741
9,44.681,True,1013
10,0.028,False,2
10,16.012999999999998,False,502
10,36.881,False,996
11,10.064,False,329
11,28.479,False,829
11,37.771,False,1010
12,0.022,False,197
12,26.514,False,697
12,37.159,False,1010
33,14.463000000000001,False,414
33,32.014,True,914
33,45.67,True,1013
34,11.862,False,330
34,28.878,True,830
34,37.712,True,996
35,0.025,False,3
35,18.689999999999998,True,503
35,37.464,True,1003
35,38.087,True,1010
36,12.723999999999998,False,478
36,35.118,True,978
36,40.424,True,1010
13,12.532,False,458
13,35.176,False,958
13,41.207,False,1013
14,0.022,False,124
14,22.057,False,624
14,36.696,False,996
15,10.857000000000001,False,310
15,27.793000000000003,False,810
15,33.734,False,1010
16,0.022,False,132
16,23.68,False,632
16,38.998,True,1010
5,0.018000000000000002,False,39
5,15.216000000000001,True,539
5,43.319,True,1013
6,11.329,False,310
6,27.688000000000002,False,810
6,39.745999999999995,False,996
7,18.244,False,489
7,37.157000000000004,False,989
7,39.306,False,1010
8,0.032,False,52
8,18.501,False,552
8,41.469,False,1010
13,12.763,False,436
13,34.044,False,936
13,40.359,False,1013
14,0.023,False,111
14,23.32,False,611
14,39.158,False,996
15,13.878,False,374
15,30.502000000000002,False,874
15,39.498,False,1010
16,7.84,False,220
16,26.026,False,720
16,38.116,False,1010
9,14.375,False,494
9,34.67400000000001,False,994
9,41.362,False,1013
10,12.686,False,476
10,36.394999999999996,False,976
10,38.994,False,996
11,11.143,False,438
11,33.889,False,938
11,40.239999999999995,False,1010
12,0.025,False,24
12,18.119,False,524
12,39.619,False,1010
25,12.002,False,435
25,33.446,True,935
25,38.166,True,1013
26,12.456999999999999,False,440
26,33.349999999999994,False,940
26,38.379000000000005,False,996
27,10.913,False,336
27,36.415000000000006,False,836
27,37.61,False,1010
28,7.643,False,206
28,29.953,False,706
28,52.475,False,1010
29,8.536,False,248
29,27.264,True,748
29,40.336999999999996,False,1013
30,0.019,False,126
30,22.308999999999997,False,626
30,36.811,False,996
31,15.948,False,425
31,33.056000000000004,True,925
31,37.524,True,1010
32,0.023,False,33
32,17.097,False,533
32,37.732,True,1010
21,9.998999999999999,False,391
21,31.579000000000004,False,891
21,44.091,False,1013
22,0.023,False,70
22,18.765,False,570
22,36.157000000000004,False,996
23,0.022,False,7
23,13.889000000000001,False,507
23,37.41,False,1007
23,37.066,False,1010
24,13.279,False,476
24,37.638999999999996,False,976
24,37.397,False,1010
17,13.293,False,379
17,30.924,False,879
17,42.979000000000006,False,1013
18,11.11,False,344
18,29.476,False,844
18,37.717,False,996
19,8.472999999999999,False,322
19,28.082,False,822
19,37.052,False,1010
20,8.245000000000001,False,356
20,32.082,True,856
20,37.006,True,1010
