msg_id,duration,id,length,res
2,1005.0870000000001,1,157,False
3,1010.063,1,657,False
4,1011.4380000000001,1,1013,False
7,1005.641,2,86,False
8,1010.419,2,586,False
9,1009.938,2,996,False
12,1007.077,3,455,False
13,1008.3470000000001,3,955,True
14,1008.8790000000001,3,1010,True
26,1006.651,1,99,False
27,1011.05,1,599,False
28,1014.82,1,1013,False
32,1006.777,2,354,False
33,1008.5649999999999,2,854,False
34,1009.028,2,996,False
36,1008.8790000000001,3,211,False
37,1010.806,3,711,False
38,1010.127,3,1010,False
40,1006.977,4,30,False
41,1009.9899999999999,4,530,False
42,1009.581,4,1010,False
50,1008.5509999999999,1,198,False
51,1010.2040000000001,1,698,False
52,1010.2789999999999,1,1013,False
55,1008.6299999999999,2,339,False
56,1007.102,2,839,False
57,1010.727,2,996,False
60,1008.5,3,480,False
61,1008.5450000000001,3,980,False
62,1010.5269999999999,3,1010,False
64,1007.6,4,373,False
65,1008.6569999999999,4,873,False
66,1007.39,4,1010,False
74,1006.275,1,31,False
75,1010.103,1,531,False
76,1010.578,1,1013,False
98,1008.542,5,249,False
99,1009.8430000000001,5,749,True
100,1009.976,5,1013,True
103,1006.6520000000002,6,189,False
104,1010.426,6,689,False
105,1007.0509999999999,6,996,False
108,1009.901,7,366,False
109,1010.1549999999999,7,866,False
110,1009.7579999999999,7,1010,False
112,1008.248,8,32,False
113,1009.9,8,532,False
114,1009.8180000000001,8,1010,False
123,1011.551,1,428,False
124,1012.862,1,928,False
125,1011.6099999999999,1,1013,False
128,1007.6279999999999,2,212,False
129,1008.0420000000001,2,712,False
130,1013.161,2,996,False
132,1007.849,3,75,False
133,1012.3230000000001,3,575,False
134,1011.18,3,1010,False
137,1007.5419999999999,4,427,False
138,1010.942,4,927,False
139,1012.362,4,1010,False
147,1007.9169999999999,1,498,False
148,1011.565,1,998,False
149,1008.701,1,1013,False
152,1008.3169999999999,2,271,False
153,1009.8320000000001,2,771,False
154,1009.0840000000001,2,996,False
156,1004.4360000000001,3,132,False
157,1010.296,3,632,True
158,1011.0380000000001,3,1010,True
170,1008.1549999999999,9,241,False
171,1008.781,9,741,False
172,1008.0849999999999,9,1013,False
175,1009.0269999999999,10,2,False
176,1010.584,10,502,False
177,1009.86,10,996,False
180,1010.456,11,329,False
181,1011.0749999999999,11,829,False
182,1009.798,11,1010,False
184,1007.2110000000001,12,197,False
185,1009.363,12,697,False
186,1010.898,12,1010,False
195,1009.161,33,414,False
196,1009.79,33,914,True
197,1010.4280000000001,33,1013,True
200,1009.706,34,330,False
201,1010.056,34,830,True
202,1010.5699999999999,34,996,True
204,1004.732,35,3,False
205,1011.943,35,503,False
206,1009.428,35,1003,True
207,1011.1429999999999,35,1010,True
209,1007.3160000000001,36,478,False
210,1006.251,36,978,True
211,1007.471,36,1010,True
219,1007.9370000000001,13,458,False
220,1009.8020000000001,13,958,False
221,1006.356,13,1013,False
223,1008.7060000000001,14,124,False
224,1010.5740000000001,14,624,False
225,1010.6329999999999,14,996,False
228,1094.172,15,310,False
229,1006.844,15,810,False
230,1007.171,15,1010,False
232,1008.3489999999999,16,132,False
233,1010.523,16,632,True
234,1009.6160000000001,16,1010,False
