msg_id,duration,id,length,res
242,1007.0360000000001,5,39,False
243,1009.9260000000002,5,539,False
244,1006.0229999999999,5,1013,False
248,1006.762,6,310,False
249,1008.51,6,810,False
250,1009.4700000000001,6,996,False
253,1010.0709999999999,7,489,False
254,1010.5509999999999,7,989,False
255,1010.917,7,1010,False
256,1007.9689999999999,8,52,False
257,1011.0300000000001,8,552,False
258,1010.06,8,1010,False
267,1007.8320000000001,13,436,False
268,1008.3789999999999,13,936,False
269,1011.016,13,1013,False
271,1009.255,14,111,False
272,1009.9830000000001,14,611,False
273,1008.2439999999999,14,996,False
276,1008.407,15,374,False
277,1013.5559999999999,15,874,False
278,1010.72,15,1010,False
280,1007.9370000000001,16,220,False
281,1007.282,16,720,False
282,1009.517,16,1010,False
291,1009.6510000000001,9,494,False
292,1009.9579999999999,9,994,False
293,1009.072,9,1013,False
296,1010.7600000000001,10,476,False
297,1010.7440000000001,10,976,False
298,1006.991,10,996,False
301,1010.3660000000001,11,438,False
302,1009.415,11,938,False
303,1010.122,11,1010,False
304,1006.2739999999999,12,24,False
305,1010.777,12,524,False
306,1012.408,12,1010,False
315,1011.526,25,435,False
316,1010.221,25,935,False
317,1012.7429999999999,25,1013,False
320,1009.1460000000001,26,440,False
321,1007.258,26,940,False
322,1006.621,26,996,False
324,1007.7389999999999,27,336,False
325,1011.73,27,836,False
326,1012.837,27,1010,False
328,1013.6220000000001,28,206,False
329,1012.6429999999999,28,706,False
330,1012.2249999999999,28,1010,False
338,1009.3669999999998,29,248,False
339,1006.757,29,748,False
340,1009.1730000000001,29,1013,False
343,1008.038,30,126,False
344,1013.662,30,626,False
345,1012.8159999999999,30,996,False
348,1008.3709999999999,31,425,False
349,1012.3219999999999,31,925,True
350,1013.153,31,1010,True
352,1004.4169999999999,32,33,False
353,1014.3439999999999,32,533,False
354,1012.6869999999999,32,1010,True
363,1005.2319999999999,21,391,False
364,1012.535,21,891,False
365,1012.666,21,1013,False
367,1007.204,22,70,False
368,1014.6850000000001,22,570,False
369,1015.7910000000002,22,996,False
372,1007.6279999999999,23,7,False
373,1011.5719999999999,23,507,False
374,1010.1,23,1007,False
375,1015.755,23,1010,False
377,1009.7560000000001,24,476,False
378,1011.382,24,976,False
379,1013.169,24,1010,False
387,1009.115,17,379,False
388,1012.9639999999999,17,879,False
389,1013.6019999999999,17,1013,False
392,1008.978,18,344,False
393,1010.6370000000001,18,844,False
394,1013.25,18,996,False
397,1012.057,19,322,False
398,1011.256,19,822,False
399,1013.6460000000001,19,1010,False
401,1015.0740000000001,20,356,False
402,1012.8280000000001,20,856,False
403,1012.8170000000001,20,1010,False
